Photon    Photoel. 
Energy    Absorb.  

1.000E-03 2.110E+05 
1.500E-03 7.309E+04 
2.000E-03 3.379E+04 
3.000E-03 1.116E+04 
3.203E-03 9.312E+03 
3.2031E-03 8.444E+04 
4.000E-03 5.011E+04 
5.000E-03 2.793E+04 
6.000E-03 1.712E+04 
8.000E-03 7.760E+03 
1.000E-02 4.134E+03 
1.500E-02 1.278E+03 
2.000E-02 5.444E+02 
3.000E-02 1.594E+02 
4.000E-02 6.573E+01 
5.000E-02 3.281E+01 
6.000E-02 1.853E+01 
8.000E-02 7.479E+00 
1.000E-01 3.691E+00 
1.500E-01 1.024E+00 
2.000E-01 4.166E-01 
3.000E-01 1.215E-01 
4.000E-01 5.293E-02 
5.000E-01 2.882E-02 
6.000E-01 1.805E-02 
8.000E-01 9.158E-03 
1.000E+00 5.696E-03 
1.022E+00 5.389E-03 
1.250E+00 3.651E-03 
1.500E+00 2.639E-03 
2.000E+00 1.639E-03 
2.044E+00 1.584E-03 
3.000E+00 8.991E-04 
4.000E+00 6.101E-04 
5.000E+00 4.590E-04 
6.000E+00 3.669E-04 
7.000E+00 3.052E-04 
8.000E+00 2.610E-04 
9.000E+00 2.279E-04 
1.000E+01 2.022E-04 
1.100E+01 1.817E-04 
1.200E+01 1.649E-04 
1.300E+01 1.509E-04 
1.400E+01 1.391E-04 
1.500E+01 1.290E-04 
1.600E+01 1.203E-04 
1.800E+01 1.059E-04 
2.000E+01 9.463E-05 
2.200E+01 8.550E-05 
2.400E+01 7.797E-05 
2.600E+01 7.166E-05 
2.800E+01 6.629E-05 
3.000E+01 6.167E-05 
4.000E+01 4.573E-05 
5.000E+01 3.633E-05 
6.000E+01 3.014E-05 
8.000E+01 2.247E-05 
1.000E+02 1.791E-05 
1.500E+02 1.189E-05 
2.000E+02 8.894E-06 
3.000E+02 5.915E-06 
4.000E+02 4.431E-06 
5.000E+02 3.542E-06 
6.000E+02 2.951E-06 
8.000E+02 2.212E-06 
1.000E+03 1.769E-06 
1.500E+03 1.179E-06 
2.000E+03 8.837E-07 
3.000E+03 5.890E-07 
4.000E+03 4.417E-07 
5.000E+03 3.533E-07 
6.000E+03 2.944E-07 
8.000E+03 2.208E-07 
1.000E+04 1.766E-07 
1.500E+04 1.178E-07 
2.000E+04 8.832E-08 
3.000E+04 5.888E-08 
4.000E+04 4.416E-08 
5.000E+04 3.533E-08 
6.000E+04 2.944E-08 
8.000E+04 2.208E-08 
1.000E+05 1.766E-08 
