Photon    Incoher. 
Energy    Scatter. 

1.000E+00 3.801E+00 
1.022E+00 3.761E+00 
1.250E+00 3.400E+00 
1.500E+00 3.090E+00 
2.000E+00 2.638E+00 
2.044E+00 2.605E+00 
3.000E+00 2.076E+00 
4.000E+00 1.731E+00 
5.000E+00 1.495E+00 
6.000E+00 1.322E+00 
7.000E+00 1.188E+00 
8.000E+00 1.081E+00 
9.000E+00 9.938E-01 
1.000E+01 9.208E-01 
1.100E+01 8.588E-01 
1.200E+01 8.054E-01 
1.300E+01 7.588E-01 
1.400E+01 7.178E-01 
1.500E+01 6.815E-01 
1.600E+01 6.490E-01 
1.800E+01 5.932E-01 
2.000E+01 5.470E-01 
2.200E+01 5.081E-01 
2.400E+01 4.748E-01 
2.600E+01 4.458E-01 
2.800E+01 4.205E-01 
3.000E+01 3.982E-01 
4.000E+01 3.164E-01 
5.000E+01 2.642E-01 
6.000E+01 2.276E-01 
8.000E+01 1.795E-01 
1.000E+02 1.490E-01 
1.500E+02 1.061E-01 
2.000E+02 8.318E-02 
3.000E+02 5.896E-02 
4.000E+02 4.617E-02 
5.000E+02 3.822E-02 
6.000E+02 3.273E-02 
8.000E+02 2.556E-02 
1.000E+03 2.103E-02 
1.500E+03 1.469E-02 
2.000E+03 1.137E-02 
3.000E+03 7.903E-03 
4.000E+03 6.100E-03 
5.000E+03 4.988E-03 
6.000E+03 4.229E-03 
8.000E+03 3.259E-03 
1.000E+04 2.660E-03 
1.500E+04 1.839E-03 
2.000E+04 1.414E-03 
3.000E+04 9.748E-04 
4.000E+04 7.484E-04 
5.000E+04 6.095E-04 
6.000E+04 5.152E-04 
8.000E+04 3.950E-04 
1.000E+05 3.214E-04
