Photon    Nuclear  
Energy    Pr. Prd.   (barn/atom)

1.250E+00 2.826E-03 
1.500E+00 1.507E-02 
2.000E+00 5.880E-02 
2.044E+00 6.336E-02 
3.000E+00 1.658E-01 
4.000E+00 2.670E-01 
5.000E+00 3.568E-01 
6.000E+00 4.371E-01 
7.000E+00 5.086E-01 
8.000E+00 5.729E-01 
9.000E+00 6.311E-01 
1.000E+01 6.839E-01 
1.100E+01 7.318E-01 
1.200E+01 7.757E-01 
1.300E+01 8.164E-01 
1.400E+01 8.543E-01 
1.500E+01 8.897E-01 
1.600E+01 9.229E-01 
1.800E+01 9.836E-01 
2.000E+01 1.038E+00 
2.200E+01 1.087E+00 
2.400E+01 1.132E+00 
2.600E+01 1.172E+00 
2.800E+01 1.210E+00 
3.000E+01 1.245E+00 
4.000E+01 1.388E+00 
5.000E+01 1.495E+00 
6.000E+01 1.578E+00 
8.000E+01 1.702E+00 
1.000E+02 1.791E+00 
1.500E+02 1.936E+00 
2.000E+02 2.024E+00 
3.000E+02 2.129E+00 
4.000E+02 2.190E+00 
5.000E+02 2.230E+00 
6.000E+02 2.259E+00 
8.000E+02 2.298E+00 
1.000E+03 2.323E+00 
1.500E+03 2.360E+00 
2.000E+03 2.380E+00 
3.000E+03 2.402E+00 
4.000E+03 2.414E+00 
5.000E+03 2.421E+00 
6.000E+03 2.426E+00 
8.000E+03 2.433E+00 
1.000E+04 2.437E+00 
1.500E+04 2.443E+00 
2.000E+04 2.447E+00 
3.000E+04 2.450E+00 
4.000E+04 2.452E+00 
5.000E+04 2.453E+00 
6.000E+04 2.453E+00 
8.000E+04 2.454E+00 
1.000E+05 2.455E+00
