Photon    Nuclear  
Energy    Pr. Prd.  (barn/atom)

1.250E+00 1.185E-03 
1.500E+00 6.487E-03 
2.000E+00 2.569E-02 
2.044E+00 2.769E-02 
3.000E+00 7.314E-02 
4.000E+00 1.184E-01 
5.000E+00 1.586E-01 
6.000E+00 1.947E-01 
7.000E+00 2.268E-01 
8.000E+00 2.557E-01 
9.000E+00 2.819E-01 
1.000E+01 3.057E-01 
1.100E+01 3.273E-01 
1.200E+01 3.471E-01 
1.300E+01 3.655E-01 
1.400E+01 3.826E-01 
1.500E+01 3.986E-01 
1.600E+01 4.136E-01 
1.800E+01 4.411E-01 
2.000E+01 4.657E-01 
2.200E+01 4.880E-01 
2.400E+01 5.083E-01 
2.600E+01 5.268E-01 
2.800E+01 5.440E-01 
3.000E+01 5.598E-01 
4.000E+01 6.251E-01 
5.000E+01 6.740E-01 
6.000E+01 7.128E-01 
8.000E+01 7.712E-01 
1.000E+02 8.130E-01 
1.500E+02 8.803E-01 
2.000E+02 9.211E-01 
3.000E+02 9.694E-01 
4.000E+02 9.975E-01 
5.000E+02 1.016E+00 
6.000E+02 1.030E+00 
8.000E+02 1.048E+00 
1.000E+03 1.059E+00 
1.500E+03 1.077E+00 
2.000E+03 1.086E+00 
3.000E+03 1.096E+00 
4.000E+03 1.102E+00 
5.000E+03 1.105E+00 
6.000E+03 1.107E+00 
8.000E+03 1.111E+00 
1.000E+04 1.113E+00 
1.500E+04 1.115E+00 
2.000E+04 1.117E+00 
3.000E+04 1.118E+00 
4.000E+04 1.119E+00 
5.000E+04 1.120E+00 
6.000E+04 1.120E+00 
8.000E+04 1.120E+00 
1.000E+05 1.121E+00 
