Photon    Nuclear  
Energy    Pr. Prd. (cm2/g)

1.000E-03 0.000E+00 
1.500E-03 0.000E+00 
2.000E-03 0.000E+00 
3.000E-03 0.000E+00 
4.000E-03 0.000E+00 
5.000E-03 0.000E+00 
6.000E-03 0.000E+00 
8.000E-03 0.000E+00 
1.000E-02 0.000E+00 
1.500E-02 0.000E+00 
2.000E-02 0.000E+00 
3.000E-02 0.000E+00 
4.000E-02 0.000E+00 
5.000E-02 0.000E+00 
6.000E-02 0.000E+00 
8.000E-02 0.000E+00 
1.000E-01 0.000E+00 
1.500E-01 0.000E+00 
2.000E-01 0.000E+00 
3.000E-01 0.000E+00 
4.000E-01 0.000E+00 
5.000E-01 0.000E+00 
6.000E-01 0.000E+00 
8.000E-01 0.000E+00 
1.000E+00 0.000E+00 
1.022E+00 0.000E+00 
1.250E+00 1.299E-05 
1.500E+00 7.220E-05 
2.000E+00 2.880E-04 
2.044E+00 3.104E-04 
3.000E+00 8.247E-04 
4.000E+00 1.339E-03 
5.000E+00 1.797E-03 
6.000E+00 2.210E-03 
7.000E+00 2.577E-03 
8.000E+00 2.909E-03 
9.000E+00 3.210E-03 
1.000E+01 3.483E-03 
1.100E+01 3.732E-03 
1.200E+01 3.961E-03 
1.300E+01 4.174E-03 
1.400E+01 4.372E-03 
1.500E+01 4.555E-03 
1.600E+01 4.732E-03 
1.800E+01 5.050E-03 
2.000E+01 5.336E-03 
2.200E+01 5.599E-03 
2.400E+01 5.835E-03 
2.600E+01 6.053E-03 
2.800E+01 6.253E-03 
3.000E+01 6.440E-03 
4.000E+01 7.205E-03 
5.000E+01 7.780E-03 
6.000E+01 8.241E-03 
8.000E+01 8.937E-03 
1.000E+02 9.451E-03 
1.500E+02 1.032E-02 
2.000E+02 1.085E-02 
3.000E+02 1.152E-02 
4.000E+02 1.191E-02 
5.000E+02 1.218E-02 
6.000E+02 1.237E-02 
8.000E+02 1.263E-02 
1.000E+03 1.280E-02 
1.500E+03 1.305E-02 
2.000E+03 1.319E-02 
3.000E+03 1.334E-02 
4.000E+03 1.342E-02 
5.000E+03 1.348E-02 
6.000E+03 1.351E-02 
8.000E+03 1.356E-02 
1.000E+04 1.359E-02 
1.500E+04 1.363E-02 
2.000E+04 1.365E-02 
3.000E+04 1.368E-02 
4.000E+04 1.369E-02 
5.000E+04 1.369E-02 
6.000E+04 1.370E-02 
8.000E+04 1.371E-02 
1.000E+05 1.371E-02 
