Photon    Nuclear  
Energy    Pr. Prd. (cm2/g)

1.000E-03 0.000E+00 
1.032E-03 0.000E+00 
1.065E-03 0.000E+00 
1.065E-03 0.000E+00 
1.069E-03 0.000E+00 
1.072E-03 0.000E+00 
1.072E-03 0.000E+00 
1.142E-03 0.000E+00 
1.217E-03 0.000E+00 
1.217E-03 0.000E+00 
1.500E-03 0.000E+00 
2.000E-03 0.000E+00 
3.000E-03 0.000E+00 
4.000E-03 0.000E+00 
4.557E-03 0.000E+00 
4.557E-03 0.000E+00 
4.702E-03 0.000E+00 
4.852E-03 0.000E+00 
4.852E-03 0.000E+00 
5.000E-03 0.000E+00 
5.012E-03 0.000E+00 
5.012E-03 0.000E+00 
5.099E-03 0.000E+00 
5.188E-03 0.000E+00 
5.188E-03 0.000E+00 
5.273E-03 0.000E+00 
5.359E-03 0.000E+00 
5.359E-03 0.000E+00 
5.534E-03 0.000E+00 
5.714E-03 0.000E+00 
5.714E-03 0.000E+00 
6.000E-03 0.000E+00 
8.000E-03 0.000E+00 
1.000E-02 0.000E+00 
1.500E-02 0.000E+00 
2.000E-02 0.000E+00 
3.000E-02 0.000E+00 
3.317E-02 0.000E+00 
3.317E-02 0.000E+00 
3.455E-02 0.000E+00 
3.598E-02 0.000E+00 
3.598E-02 0.000E+00 
4.000E-02 0.000E+00 
5.000E-02 0.000E+00 
6.000E-02 0.000E+00 
8.000E-02 0.000E+00 
1.000E-01 0.000E+00 
1.500E-01 0.000E+00 
2.000E-01 0.000E+00 
3.000E-01 0.000E+00 
4.000E-01 0.000E+00 
5.000E-01 0.000E+00 
6.000E-01 0.000E+00 
8.000E-01 0.000E+00 
1.000E+00 0.000E+00 
1.022E+00 0.000E+00 
1.250E+00 1.937E-04 
1.500E+00 8.956E-04 
2.000E+00 3.006E-03 
2.044E+00 3.209E-03 
3.000E+00 7.542E-03 
4.000E+00 1.153E-02 
5.000E+00 1.497E-02 
6.000E+00 1.794E-02 
7.000E+00 2.057E-02 
8.000E+00 2.294E-02 
9.000E+00 2.509E-02 
1.000E+01 2.706E-02 
1.100E+01 2.888E-02 
1.200E+01 3.056E-02 
1.300E+01 3.212E-02 
1.400E+01 3.357E-02 
1.500E+01 3.491E-02 
1.600E+01 3.615E-02 
1.800E+01 3.840E-02 
2.000E+01 4.043E-02 
2.200E+01 4.226E-02 
2.400E+01 4.393E-02 
2.600E+01 4.545E-02 
2.800E+01 4.684E-02 
3.000E+01 4.814E-02 
4.000E+01 5.333E-02 
5.000E+01 5.721E-02 
6.000E+01 6.024E-02 
8.000E+01 6.467E-02 
1.000E+02 6.782E-02 
1.500E+02 7.285E-02 
2.000E+02 7.586E-02 
3.000E+02 7.936E-02 
4.000E+02 8.138E-02 
5.000E+02 8.270E-02 
6.000E+02 8.365E-02 
8.000E+02 8.490E-02 
1.000E+03 8.574E-02 
1.500E+03 8.692E-02 
2.000E+03 8.757E-02 
3.000E+03 8.827E-02 
4.000E+03 8.864E-02 
5.000E+03 8.889E-02 
6.000E+03 8.903E-02 
8.000E+03 8.926E-02 
1.000E+04 8.940E-02 
1.500E+04 8.961E-02 
2.000E+04 8.970E-02 
3.000E+04 8.980E-02 
4.000E+04 8.984E-02 
5.000E+04 8.989E-02 
6.000E+04 8.991E-02 
8.000E+04 8.993E-02 
1.000E+05 8.996E-02
