Photon    Nuclear  
Energy    Pr. Prd.   (barn/atom)

1.000E-03 0.000E+00 
1.103E-03 0.000E+00 
1.217E-03 0.000E+00 
1.217E-03 0.000E+00 
1.232E-03 0.000E+00 
1.248E-03 0.000E+00 
1.248E-03 0.000E+00 
1.328E-03 0.000E+00 
1.414E-03 0.000E+00 
1.414E-03 0.000E+00 
1.500E-03 0.000E+00 
2.000E-03 0.000E+00 
3.000E-03 0.000E+00 
4.000E-03 0.000E+00 
5.000E-03 0.000E+00 
6.000E-03 0.000E+00 
8.000E-03 0.000E+00 
1.000E-02 0.000E+00 
1.110E-02 0.000E+00 
1.110E-02 0.000E+00 
1.500E-02 0.000E+00 
2.000E-02 0.000E+00 
3.000E-02 0.000E+00 
4.000E-02 0.000E+00 
5.000E-02 0.000E+00 
6.000E-02 0.000E+00 
8.000E-02 0.000E+00 
1.000E-01 0.000E+00 
1.500E-01 0.000E+00 
2.000E-01 0.000E+00 
3.000E-01 0.000E+00 
4.000E-01 0.000E+00 
5.000E-01 0.000E+00 
6.000E-01 0.000E+00 
8.000E-01 0.000E+00 
1.000E+00 0.000E+00 
1.022E+00 0.000E+00 
1.250E+00 1.073E-02 
1.500E+00 5.320E-02 
2.000E+00 1.971E-01 
2.044E+00 2.116E-01 
3.000E+00 5.378E-01 
4.000E+00 8.526E-01 
5.000E+00 1.130E+00 
6.000E+00 1.374E+00 
7.000E+00 1.592E+00 
8.000E+00 1.788E+00 
9.000E+00 1.966E+00 
1.000E+01 2.127E+00 
1.100E+01 2.274E+00 
1.200E+01 2.408E+00 
1.300E+01 2.533E+00 
1.400E+01 2.648E+00 
1.500E+01 2.755E+00 
1.600E+01 2.856E+00 
1.800E+01 3.040E+00 
2.000E+01 3.205E+00 
2.200E+01 3.354E+00 
2.400E+01 3.490E+00 
2.600E+01 3.614E+00 
2.800E+01 3.728E+00 
3.000E+01 3.833E+00 
4.000E+01 4.262E+00 
5.000E+01 4.581E+00 
6.000E+01 4.831E+00 
8.000E+01 5.201E+00 
1.000E+02 5.464E+00 
1.500E+02 5.883E+00 
2.000E+02 6.134E+00 
3.000E+02 6.425E+00 
4.000E+02 6.592E+00 
5.000E+02 6.703E+00 
6.000E+02 6.781E+00 
8.000E+02 6.886E+00 
1.000E+03 6.954E+00 
1.500E+03 7.052E+00 
2.000E+03 7.106E+00 
3.000E+03 7.164E+00 
4.000E+03 7.195E+00 
5.000E+03 7.215E+00 
6.000E+03 7.228E+00 
8.000E+03 7.246E+00 
1.000E+04 7.257E+00 
1.500E+04 7.273E+00 
2.000E+04 7.281E+00 
3.000E+04 7.290E+00 
4.000E+04 7.295E+00 
5.000E+04 7.297E+00 
6.000E+04 7.299E+00 
8.000E+04 7.302E+00 
1.000E+05 7.303E+00 
