Photon    Nuclear  
Energy    Pr. Prd. (cm2/g)

1.000E-03 0.000E+00 
1.035E-03 0.000E+00 
1.072E-03 0.000E+00 
1.072E-03 0.000E+00 
1.072E-03 0.000E+00 
1.072E-03 0.000E+00 
1.072E-03 0.000E+00 
1.500E-03 0.000E+00 
2.000E-03 0.000E+00 
3.000E-03 0.000E+00 
4.000E-03 0.000E+00 
4.557E-03 0.000E+00 
4.557E-03 0.000E+00 
4.702E-03 0.000E+00 
4.852E-03 0.000E+00 
4.852E-03 0.000E+00 
5.000E-03 0.000E+00 
5.188E-03 0.000E+00 
5.188E-03 0.000E+00 
6.000E-03 0.000E+00 
8.000E-03 0.000E+00 
1.000E-02 0.000E+00 
1.500E-02 0.000E+00 
2.000E-02 0.000E+00 
3.000E-02 0.000E+00 
3.317E-02 0.000E+00 
3.317E-02 0.000E+00 
4.000E-02 0.000E+00 
5.000E-02 0.000E+00 
6.000E-02 0.000E+00 
8.000E-02 0.000E+00 
1.000E-01 0.000E+00 
1.500E-01 0.000E+00 
2.000E-01 0.000E+00 
3.000E-01 0.000E+00 
4.000E-01 0.000E+00 
5.000E-01 0.000E+00 
6.000E-01 0.000E+00 
8.000E-01 0.000E+00 
1.000E+00 0.000E+00 
1.022E+00 0.000E+00 
1.250E+00 1.634E-04 
1.500E+00 7.594E-04 
2.000E+00 2.575E-03 
2.044E+00 2.751E-03 
3.000E+00 6.518E-03 
4.000E+00 1.001E-02 
5.000E+00 1.303E-02 
6.000E+00 1.563E-02 
7.000E+00 1.795E-02 
8.000E+00 2.004E-02 
9.000E+00 2.193E-02 
1.000E+01 2.366E-02 
1.100E+01 2.526E-02 
1.200E+01 2.673E-02 
1.300E+01 2.811E-02 
1.400E+01 2.937E-02 
1.500E+01 3.054E-02 
1.600E+01 3.163E-02 
1.800E+01 3.362E-02 
2.000E+01 3.540E-02 
2.200E+01 3.701E-02 
2.400E+01 3.848E-02 
2.600E+01 3.982E-02 
2.800E+01 4.104E-02 
3.000E+01 4.219E-02 
4.000E+01 4.675E-02 
5.000E+01 5.017E-02 
6.000E+01 5.283E-02 
8.000E+01 5.673E-02 
1.000E+02 5.952E-02 
1.500E+02 6.397E-02 
2.000E+02 6.665E-02 
3.000E+02 6.974E-02 
4.000E+02 7.153E-02 
5.000E+02 7.268E-02 
6.000E+02 7.352E-02 
8.000E+02 7.463E-02 
1.000E+03 7.535E-02 
1.500E+03 7.641E-02 
2.000E+03 7.701E-02 
3.000E+03 7.761E-02 
4.000E+03 7.794E-02 
5.000E+03 7.816E-02 
6.000E+03 7.829E-02 
8.000E+03 7.850E-02 
1.000E+04 7.862E-02 
1.500E+04 7.879E-02 
2.000E+04 7.888E-02 
3.000E+04 7.897E-02 
4.000E+04 7.901E-02 
5.000E+04 7.905E-02 
6.000E+04 7.905E-02 
8.000E+04 7.909E-02 
1.000E+05 7.909E-02
