Photon    Nuclear  
Energy    Pr. Prd.   (barn/atom)

1.000E-03 0.000E+00 
1.500E-03 0.000E+00 
1.839E-03 0.000E+00 
1.839E-03 0.000E+00 
2.000E-03 0.000E+00 
3.000E-03 0.000E+00 
4.000E-03 0.000E+00 
5.000E-03 0.000E+00 
6.000E-03 0.000E+00 
8.000E-03 0.000E+00 
1.000E-02 0.000E+00 
1.500E-02 0.000E+00 
2.000E-02 0.000E+00 
3.000E-02 0.000E+00 
4.000E-02 0.000E+00 
5.000E-02 0.000E+00 
6.000E-02 0.000E+00 
8.000E-02 0.000E+00 
1.000E-01 0.000E+00 
1.500E-01 0.000E+00 
2.000E-01 0.000E+00 
3.000E-01 0.000E+00 
4.000E-01 0.000E+00 
5.000E-01 0.000E+00 
6.000E-01 0.000E+00 
8.000E-01 0.000E+00 
1.000E+00 0.000E+00 
1.022E+00 0.000E+00 
1.250E+00 1.642E-03 
1.500E+00 8.917E-03 
2.000E+00 3.513E-02 
2.044E+00 3.786E-02 
3.000E+00 9.978E-02 
4.000E+00 1.612E-01 
5.000E+00 2.159E-01 
6.000E+00 2.648E-01 
7.000E+00 3.083E-01 
8.000E+00 3.475E-01 
9.000E+00 3.830E-01 
1.000E+01 4.153E-01 
1.100E+01 4.445E-01 
1.200E+01 4.714E-01 
1.300E+01 4.963E-01 
1.400E+01 5.194E-01 
1.500E+01 5.411E-01 
1.600E+01 5.614E-01 
1.800E+01 5.986E-01 
2.000E+01 6.318E-01 
2.200E+01 6.619E-01 
2.400E+01 6.893E-01 
2.600E+01 7.144E-01 
2.800E+01 7.375E-01 
3.000E+01 7.589E-01 
4.000E+01 8.472E-01 
5.000E+01 9.133E-01 
6.000E+01 9.652E-01 
8.000E+01 1.043E+00 
1.000E+02 1.098E+00 
1.500E+02 1.188E+00 
2.000E+02 1.242E+00 
3.000E+02 1.307E+00 
4.000E+02 1.345E+00 
5.000E+02 1.370E+00 
6.000E+02 1.388E+00 
8.000E+02 1.413E+00 
1.000E+03 1.429E+00 
1.500E+03 1.452E+00 
2.000E+03 1.464E+00 
3.000E+03 1.478E+00 
4.000E+03 1.486E+00 
5.000E+03 1.490E+00 
6.000E+03 1.494E+00 
8.000E+03 1.498E+00 
1.000E+04 1.501E+00 
1.500E+04 1.504E+00 
2.000E+04 1.506E+00 
3.000E+04 1.509E+00 
4.000E+04 1.510E+00 
5.000E+04 1.510E+00 
6.000E+04 1.511E+00 
8.000E+04 1.511E+00 
1.000E+05 1.512E+00
