Photon    Nuclear  
Energy    Pr. Prd. (barn/atom)

1.000E-03 0.000E+00 
1.072E-03 0.000E+00 
1.149E-03 0.000E+00 
1.149E-03 0.000E+00 
1.500E-03 0.000E+00 
2.000E-03 0.000E+00 
3.000E-03 0.000E+00 
4.000E-03 0.000E+00 
4.782E-03 0.000E+00 
4.782E-03 0.000E+00 
5.000E-03 0.000E+00 
5.104E-03 0.000E+00 
5.104E-03 0.000E+00 
5.275E-03 0.000E+00 
5.453E-03 0.000E+00 
5.453E-03 0.000E+00 
6.000E-03 0.000E+00 
8.000E-03 0.000E+00 
1.000E-02 0.000E+00 
1.500E-02 0.000E+00 
2.000E-02 0.000E+00 
3.000E-02 0.000E+00 
3.456E-02 0.000E+00 
3.456E-02 0.000E+00 
4.000E-02 0.000E+00 
5.000E-02 0.000E+00 
6.000E-02 0.000E+00 
8.000E-02 0.000E+00 
1.000E-01 0.000E+00 
1.500E-01 0.000E+00 
2.000E-01 0.000E+00 
3.000E-01 0.000E+00 
4.000E-01 0.000E+00 
5.000E-01 0.000E+00 
6.000E-01 0.000E+00 
8.000E-01 0.000E+00 
1.000E+00 0.000E+00 
1.022E+00 0.000E+00 
1.250E+00 4.173E-02 
1.500E+00 1.930E-01 
2.000E+00 6.478E-01 
2.044E+00 6.918E-01 
3.000E+00 1.626E+00 
4.000E+00 2.487E+00 
5.000E+00 3.229E+00 
6.000E+00 3.868E+00 
7.000E+00 4.436E+00 
8.000E+00 4.947E+00 
9.000E+00 5.411E+00 
1.000E+01 5.836E+00 
1.100E+01 6.228E+00 
1.200E+01 6.590E+00 
1.300E+01 6.929E+00 
1.400E+01 7.240E+00 
1.500E+01 7.529E+00 
1.600E+01 7.796E+00 
1.800E+01 8.283E+00 
2.000E+01 8.719E+00 
2.200E+01 9.115E+00 
2.400E+01 9.475E+00 
2.600E+01 9.803E+00 
2.800E+01 1.010E+01 
3.000E+01 1.038E+01 
4.000E+01 1.150E+01 
5.000E+01 1.234E+01 
6.000E+01 1.299E+01 
8.000E+01 1.395E+01 
1.000E+02 1.463E+01 
1.500E+02 1.571E+01 
2.000E+02 1.636E+01 
3.000E+02 1.712E+01 
4.000E+02 1.755E+01 
5.000E+02 1.784E+01 
6.000E+02 1.804E+01 
8.000E+02 1.831E+01 
1.000E+03 1.849E+01 
1.500E+03 1.875E+01 
2.000E+03 1.889E+01 
3.000E+03 1.904E+01 
4.000E+03 1.912E+01 
5.000E+03 1.917E+01 
6.000E+03 1.921E+01 
8.000E+03 1.925E+01 
1.000E+04 1.928E+01 
1.500E+04 1.932E+01 
2.000E+04 1.934E+01 
3.000E+04 1.937E+01 
4.000E+04 1.938E+01 
5.000E+04 1.939E+01 
6.000E+04 1.939E+01 
8.000E+04 1.940E+01 
1.000E+05 1.940E+01 
